cluster,recorded,ten,mean,station_mean,kuchera,dube,gpt,nn_full,nn_small,nn_without_derived,nn_without_meta,nn_without_radiation,nn_without_surface,nn_without_temperature,nn_without_upper,nn_without_water,nn_without_wind,nn_surface_temperature,nn_surface_temp_meta,nn_temp_humidity,nn_temp_humidity_wind,nn_temp_humidity_wind_meta,station,count
Coast Range,0.0,4.223979146256242,4.521154535069293,4.043665960672965,5.99988572172534,4.192570309352168,7.025317736245497,4.002661194917668,3.9314009683571753,3.99292053924517,4.000025618568003,3.9590721363310237,3.8902007808757673,3.961562229617997,4.013867325240141,4.022508860272702,4.05052276873221,4.230317302105463,4.023082632001921,4.267449067640166,3.9431260943983015,3.9091214831903045,18.872536136662287,761
Northern BC,0.0,4.581966923283276,4.580980774238339,4.649488735515758,5.926508066989752,4.843521844081911,5.843514631457955,4.6161662596561595,4.567249098191949,4.604638051627474,4.654687587159785,4.564284687747001,4.5093246845447235,4.6407169517046984,4.519513670560483,4.612340529390935,4.5679414154129425,4.5815253785845025,4.505251086278934,4.570848059160708,4.560850518332664,4.556498003227443,56.43344709897611,293
Rockies,0.0,3.734704941879779,3.9098591430562015,3.8073459318073515,5.535048620427904,4.091699855494703,5.936420221591153,3.7258961284599628,3.735264020779775,3.7330015000716523,3.7288136750605445,3.7359615233975076,3.749065728745977,3.7213882467211947,3.68524128696184,3.7170701608941776,3.7098511218305488,3.7386304661165273,3.726419603801929,3.7528197602195315,3.770580222187274,3.7360286686551274,32.092584062643944,2171
