,LCTN_ID,LCTN_NM,Region,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,Count
62,2D10P,Gray Creek Upper,Northern BC,1.95,1.69,1.64,2.29,3.36,4.01,1.74,1.69,1.56,1.7,1.65,1.59,1.8,1.79,1.72,1.9,1.94,1.9,1.56,1.95,1.87,8
63,2D14P,Redfish Creek,Northern BC,3.91,4.09,4.03,5.54,4.12,6.25,3.92,3.93,3.97,3.95,3.94,3.89,3.92,3.89,3.92,3.91,3.92,3.91,3.89,3.88,3.92,139
64,2D15P,Kaslo Airport,Northern BC,6.5,5.81,4.98,5.28,6.5,4.93,6.24,6.2,6.03,6.5,6.11,6.31,5.58,6.32,6.4,6.36,6.49,6.28,5.71,5.8,6.08,6
65,2D16P,New Denver East,Northern BC,4.02,2.98,0.8,0.51,4.02,1.37,3.76,3.75,3.48,3.84,3.34,3.73,3.66,4.07,3.92,4.14,4.0,3.79,3.31,3.23,3.11,4
66,2E07P,Grano Creek,Northern BC,3.18,3.41,3.39,5.11,3.45,5.6,3.27,3.33,3.24,3.31,3.22,3.17,3.23,3.22,3.19,3.23,3.18,3.21,3.35,3.27,3.19,90
67,2F01AP,Trout Creek West,Northern BC,2.69,3.21,2.76,2.6,2.72,5.43,2.59,2.95,2.66,2.62,2.93,3.21,2.55,2.43,2.39,2.51,2.7,2.6,2.65,3.57,3.06,8
68,2F05P,Mission Creek,Northern BC,3.11,3.43,3.11,5.07,3.37,5.83,3.16,3.23,3.26,3.24,3.18,3.23,3.17,2.97,3.16,3.03,3.12,3.11,3.16,3.25,3.16,118
69,2F08P,Greyback Reservoir,Northern BC,1.68,2.35,1.81,3.7,2.18,6.25,2.1,2.25,2.06,1.98,2.04,2.48,1.85,2.1,1.98,1.83,1.69,1.9,1.92,2.83,2.64,14
70,2F09P,Whiterocks Mountain,Northern BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
71,2F10P,Silver Star Mountain,Northern BC,2.38,3.07,2.2,6.2,2.24,6.73,2.55,2.42,2.55,2.26,2.6,2.49,2.4,2.17,2.5,2.4,2.4,2.25,2.37,2.35,2.34,24
73,2F19P,Oyama Lake,Northern BC,2.42,3.47,1.62,5.13,2.61,7.86,2.76,3.54,2.8,2.6,3.41,3.39,3.15,2.47,2.31,2.37,2.45,2.87,2.78,4.24,3.74,3
74,2G03P,Blackwall Peak,Northern BC,3.11,3.19,3.22,4.85,3.63,5.19,3.11,3.21,3.07,3.18,3.15,3.26,3.18,3.13,3.1,3.16,3.11,3.12,3.12,3.27,3.23,82
75,3A09P,Palisade Lake,Coast Range,4.54,5.13,3.57,4.36,3.28,8.71,3.61,3.35,3.64,3.56,3.25,3.3,3.49,3.74,3.68,3.93,4.56,3.81,4.66,3.18,3.26,45
77,3A19P,Orchid Lake,Coast Range,3.87,4.37,3.36,5.35,3.3,7.85,3.2,3.11,3.19,3.12,3.07,3.2,3.26,3.28,3.37,3.36,3.88,3.22,3.98,3.19,3.24,71
78,3A20P,Callaghan,Coast Range,4.57,5.04,4.06,5.11,4.59,8.04,4.7,4.74,4.68,4.77,4.79,4.39,4.57,4.49,4.49,4.51,4.58,4.53,4.92,4.84,4.64,29
79,3A22P,Nostetuko River,Coast Range,4.95,4.79,4.67,5.48,5.26,5.47,4.75,4.63,4.68,4.79,4.61,4.76,4.68,4.85,4.73,4.89,4.95,4.91,4.79,4.67,4.73,48
80,3A24P,Mosley Creek Upper,Coast Range,3.1,3.11,3.12,3.56,3.34,4.95,2.88,2.9,2.86,3.05,2.83,2.89,2.87,2.94,2.99,2.99,3.1,3.13,3.0,2.74,2.64,40
81,3A25P,Squamish River Upper,Coast Range,3.97,4.31,4.13,4.96,4.14,6.88,4.04,3.99,4.09,4.09,3.98,3.96,3.98,3.94,3.98,3.96,3.98,3.95,4.06,4.09,3.99,65
82,3A28P,Tetrahedron,Coast Range,4.7,5.35,4.12,9.31,3.89,8.96,4.25,4.29,4.37,4.15,4.45,4.39,4.18,4.14,4.25,4.23,4.71,4.07,4.59,4.52,4.49,31
83,3A29P,Loch Lomand,Coast Range,7.98,7.29,6.4,12.32,10.09,5.98,8.64,8.66,8.61,8.46,8.85,8.28,8.75,8.61,8.29,8.76,7.97,8.94,7.72,8.45,8.63,6
85,3B23P,Jump Creek,Coast Range,3.35,3.83,3.2,6.04,3.25,7.11,3.19,3.11,3.17,3.14,3.29,3.05,3.16,3.09,3.27,3.13,3.37,3.18,3.36,3.16,3.14,111
86,3B24P,Heather Mountain Upper,Coast Range,4.29,4.78,4.28,7.7,4.26,7.78,4.03,4.11,4.03,4.02,3.95,4.14,4.11,4.05,4.14,4.04,4.3,3.99,4.5,3.97,4.03,57
87,3B25P,North Road Test ASWS,Coast Range,1.67,2.71,0.0,1.93,1.33,7.11,0.82,4.69,0.81,0.09,0.59,0.8,0.57,1.67,0.19,1.73,1.69,1.29,1.4,0.51,2.47,1
88,3B26P,Mount Arrowsmith,Coast Range,5.44,5.2,5.56,14.72,7.21,6.3,5.43,4.99,5.3,5.58,5.5,4.71,5.12,5.84,5.27,5.74,5.43,5.58,5.52,5.17,4.97,26
89,3C08P,Burnt Bridge Creek,Coast Range,2.83,2.98,2.93,3.99,2.98,5.22,2.98,2.99,2.98,2.93,3.04,2.89,2.87,2.91,2.91,2.9,2.84,2.85,2.83,2.84,2.88,91
90,4A02P,Pine Pass,Rockies,5.3,5.89,5.28,6.07,5.26,8.3,5.31,5.08,5.48,5.38,4.99,4.96,5.27,5.41,5.32,5.2,5.31,4.9,5.59,4.64,5.09,33
91,4A03P,Ware Upper,Rockies,3.69,3.83,3.8,8.62,3.69,6.06,3.84,3.7,3.88,3.83,4.27,4.63,3.81,3.57,3.93,3.62,3.69,3.66,3.69,5.73,5.13,7
93,4A09P,Pulpit Lake,Rockies,3.83,4.14,3.94,5.35,3.83,6.5,3.51,4.29,3.72,3.43,3.85,4.35,3.65,3.68,3.47,3.65,3.84,3.9,3.84,3.47,4.5,5
94,4A12P,Tsaydaychi Lake,Rockies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
96,4A18P,Mount Sheba,Northern BC,4.03,4.11,4.02,6.37,4.8,5.8,4.22,4.29,4.4,4.27,4.27,4.78,4.5,4.33,4.23,4.07,4.04,4.04,4.29,4.54,4.75,13
98,4A27P,Kwadacha North,Rockies,4.92,4.52,4.52,4.51,3.44,4.97,5.17,4.83,4.81,4.94,4.79,4.46,5.16,5.0,4.97,5.04,4.91,4.85,4.66,4.29,5.02,4
100,4A30P,Aiken Lake,Rockies,2.73,2.41,2.49,8.81,2.73,3.47,2.78,2.67,2.94,3.16,2.9,1.66,2.42,2.57,2.87,2.7,2.73,2.6,2.11,2.86,1.18,3
104,4A35P,Germansen Landing,Rockies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
105,4A36P,Parsnip Upper,Northern BC,3.92,4.64,2.98,6.99,4.72,7.89,3.61,3.46,3.55,3.63,3.81,2.97,3.65,3.34,3.58,3.54,3.94,3.5,4.26,3.5,3.38,8
107,4B02P,Johanson Lake,Rockies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
109,4B15P,Lu Lake,Rockies,3.73,3.63,3.86,6.93,4.51,5.09,3.84,3.69,3.87,4.02,3.76,3.41,3.87,3.68,3.83,3.64,3.72,3.74,3.77,3.9,3.63,42
110,4B16P,Shedin Creek,Rockies,4.36,4.3,4.37,5.44,4.65,5.15,4.44,4.42,4.38,4.5,4.44,4.42,4.48,4.26,4.43,4.39,4.36,4.35,4.29,4.43,4.42,87
111,4B17P,Tsai Creek,Rockies,4.39,4.26,4.35,4.92,4.9,5.46,4.27,4.21,4.24,4.21,4.08,4.07,4.38,4.19,4.26,4.32,4.39,4.25,4.21,4.08,4.06,64
112,4B18P,Cedar-Kiteen,Rockies,5.42,5.39,5.71,6.77,5.32,6.26,5.51,5.67,5.44,5.58,5.73,5.65,5.48,5.56,5.54,5.61,5.42,5.41,5.57,5.74,5.71,35
113,4C01P,Sikanni Lake,Rockies,3.1,4.15,0.0,7.23,3.1,8.19,4.28,4.38,4.53,3.84,5.7,8.21,4.11,3.58,4.38,3.28,3.13,3.56,4.54,4.27,5.8,1
121,4D10P,Tumeka Creek,Rockies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
122,4D11P,Kinaskan Lake,Rockies,7.08,6.9,8.0,6.76,6.83,7.86,7.19,7.03,7.05,7.02,6.97,7.15,6.99,6.94,7.1,6.99,7.07,7.11,7.03,7.06,6.9,12
