,0
recorded,0.0
ten,3.9271345326027904
mean,4.115079121740954
station_mean,3.9396210894672876
kuchera,5.680300915599987
dube,4.183807222329302
nn_full,3.8720875591622264
nn_small,3.8571343602489745
nn_without_derived,3.873524879425731
nn_without_meta,3.876929441030855
nn_without_radiation,3.863864116465146
nn_without_surface,3.8514408136203344
nn_without_temperature,3.861585366579996
nn_without_upper,3.8385827516205033
nn_without_water,3.8704819649861495
nn_without_wind,3.8681988983613413
station,31.184496124031007
cluster,1.8548837209302325
