,0
recorded,0.0
ten,35.7433479975603
mean,34.658226611075655
station_mean,31.795993561559133
kuchera,58.19230224708433
dube,40.360469332048986
nn_full,34.756141611413675
nn_small,37.17356474867272
nn_without_derived,36.37321232179443
nn_without_meta,35.969104283574815
nn_without_radiation,36.511065937690724
nn_without_surface,37.345248866431966
nn_without_temperature,35.85936644800155
nn_without_upper,35.98454076811293
nn_without_water,36.156749200571596
nn_without_wind,35.35381449052128
station,31.184496124031007
cluster,1.5891472868217054
