,LCTN_ID,LCTN_NM,Region,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,Count
62,2D10P,Gray Creek Upper,Northern BC,2.31,1.96,1.95,2.71,3.72,4.49,2.11,1.95,1.89,1.99,1.92,2.09,2.11,2.04,2.01,2.17,2.3,2.2,1.95,2.3,2.07,8
63,2D14P,Redfish Creek,Northern BC,5.89,5.86,5.85,7.69,6.26,7.46,5.82,5.82,5.83,5.81,5.8,5.77,5.8,5.83,5.84,5.85,5.89,5.89,5.77,5.74,5.8,139
64,2D15P,Kaslo Airport,Northern BC,8.93,8.22,6.28,6.72,8.93,6.39,8.66,8.6,8.38,8.88,8.47,8.59,8.21,8.55,8.77,8.71,8.91,8.69,8.12,8.26,8.46,6
65,2D16P,New Denver East,Northern BC,4.14,3.14,0.97,0.68,4.14,1.47,3.97,3.91,3.68,4.0,3.5,3.81,4.09,4.19,4.05,4.25,4.11,3.91,3.53,3.51,3.29,4
66,2E07P,Grano Creek,Northern BC,4.65,4.56,4.55,6.79,5.07,6.35,4.6,4.55,4.57,4.61,4.44,4.4,4.62,4.65,4.61,4.67,4.65,4.68,4.64,4.39,4.42,90
67,2F01AP,Trout Creek West,Northern BC,3.37,3.48,3.36,2.98,3.38,6.15,3.11,3.53,3.18,3.28,3.32,3.81,3.37,3.17,3.03,3.25,3.37,3.4,3.2,4.15,3.69,8
68,2F05P,Mission Creek,Northern BC,3.96,4.09,3.96,6.14,4.42,6.72,3.89,3.94,4.0,3.97,3.91,4.08,3.99,3.79,3.97,3.86,3.96,3.97,3.88,4.0,3.93,118
69,2F08P,Greyback Reservoir,Northern BC,2.44,2.99,2.28,4.14,2.59,6.65,2.91,2.94,2.84,2.67,2.8,3.35,2.5,2.81,2.7,2.52,2.45,2.61,2.6,3.47,3.45,14
70,2F09P,Whiterocks Mountain,Northern BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
71,2F10P,Silver Star Mountain,Northern BC,2.99,3.55,2.74,7.4,2.86,7.29,3.1,2.93,3.01,2.66,3.01,2.95,2.95,2.66,3.04,2.82,3.0,2.77,2.81,2.83,2.83,24
