Unnamed: 0,model_id,dataname,optimizer,lossfn,layers,regularization_strength,activationfn,epochs,batch_size,dropout_rate,train_accuracy,test_accuracy,time
,16.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 200, 'dropout', 150, 'dropout', 100, 'dropout', 50]",0.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294EDD148E0>,100.0,100.0,0.2,"[3.462329387664795, 34.47755432128906]","[3.4478254318237305, 35.95241165161133]",
,17.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 200, 'dropout', 150, 'dropout', 100, 'dropout', 50]",1e-06,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F2AF4610>,100.0,100.0,0.2,"[3.491105318069458, 35.780235290527344]","[3.3783459663391113, 33.687538146972656]",
,18.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 200, 'dropout', 150, 'dropout', 100, 'dropout', 50]",0.0001,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294EDC9B9A0>,100.0,100.0,0.2,"[3.530926465988159, 35.46913528442383]","[3.496676206588745, 34.58836364746094]",
,19.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 200, 'dropout', 150, 'dropout', 100, 'dropout', 50]",0.01,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294EAFEB670>,100.0,100.0,0.2,"[3.6561050415039062, 35.799522399902344]","[3.56097412109375, 35.74028778076172]",
,20.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 200, 'dropout', 150, 'dropout', 100, 'dropout', 50]",10.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294EDC998D0>,100.0,100.0,0.2,"[80.59051513671875, 35.068572998046875]","[80.69169616699219, 37.09614944458008]",
,21.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 100, 'dropout', 100, 'dropout', 100, 'dropout', 100]",0.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294EAFEB670>,100.0,100.0,0.2,"[3.499457836151123, 36.75127410888672]","[3.407339096069336, 33.23911666870117]",
,22.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 100, 'dropout', 100, 'dropout', 100, 'dropout', 100]",1e-06,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F1997FA0>,100.0,100.0,0.2,"[3.482246160507202, 35.43893814086914]","[3.292902946472168, 32.577632904052734]",
,23.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 100, 'dropout', 100, 'dropout', 100, 'dropout', 100]",0.0001,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294FC4D5D20>,100.0,100.0,0.2,"[3.533055067062378, 34.999752044677734]","[3.536309003829956, 36.543949127197266]",
,24.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 100, 'dropout', 100, 'dropout', 100, 'dropout', 100]",0.01,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294FC4D73D0>,100.0,100.0,0.2,"[3.677842855453491, 37.7381591796875]","[3.532365322113037, 34.103736877441406]",
,25.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 100, 'dropout', 100, 'dropout', 100, 'dropout', 100]",10.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294EFAC91E0>,100.0,100.0,0.2,"[47.43683624267578, 35.6965446472168]","[47.1825065612793, 30.91571617126465]",
,26.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 100, 100, 100, 100]",0.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F7D94D90>,100.0,100.0,0.2,"[3.4940340518951416, 33.20237350463867]","[3.4239017963409424, 32.46808624267578]",
,27.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 100, 100, 100, 100]",1e-06,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F1874E80>,100.0,100.0,0.2,"[3.589547872543335, 32.74372482299805]","[3.583118438720703, 33.36068344116211]",
,28.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 100, 100, 100, 100]",0.0001,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294EFBDB1C0>,100.0,100.0,0.2,"[3.685847520828247, 33.38543701171875]","[3.6022520065307617, 28.62653160095215]",
